text,label
무료 대출 상담 지금 바로 연락주세요,spam
광고) 한도 상향 대출 가능 안내,spam
지금 신청 시 이자 할인 혜택 제공,spam
정부지원 대출 대상자 확인하세요,spam
100% 당첨 쿠폰 지급 이벤트,spam
무료 체험 신청하세요,spam
지금 클릭하면 혜택이 쏟아집니다,spam
카카오톡 친구 추가 시 사은품 증정,spam
선착순 이벤트 참여하세요,spam
광고 문자 수신 동의하셨습니다,spam
대출 승인 완료 안내드립니다,spam
지금 상담 시 추가 혜택 제공,spam
수익 보장 투자 정보 공유드립니다,spam
비밀 정보 공개합니다,spam
지금 바로 확인하지 않으면 종료됩니다,spam
신용카드 한도 물어보고 돈 받으세요,spam
금리 낮은 대출 지금 신청하세요,spam
24시간 즉시 대출 가능합니다,spam
차용증 없이 대출 가능,spam
직장인 대출 특별 금리 제공,spam
무직자도 대출 가능,spam
연체자 전문 대출 회사,spam
일수금 빠른 승인 모두 가능,spam
사채 대출 가능 연락주세요,spam
휴대폰 현금화 가능,spam
해외송금 환전 가능합니다,spam
구글 플레이카드 구매 높은 가격 지급,spam
아마존 기프트카드 현금화,spam
비트코인 투자 정보 공유합니다,spam
주식 무료 상담 받으세요,spam
선물옵션 투자 성공률 높습니다,spam
외환 투자 월 30% 수익 보장,spam
부동산 투자 정보 무료로 드려요,spam
펀드 추천 무료 상담,spam
보험료 낮추는 비결 알려드려요,spam
상품권 구매하신 분께 높은 가격으로,spam
아이폰 샀다고 이벤트 당첨 안내,spam
삼성 전자제품 무료 증정 이벤트,spam
너무 많이 샀어요 상품 처분 세일,spam
구매처에서 환불 못 받으니 우리가,spam
무료 배송 쿠폰 받으세요,spam
오늘만 50프로 할인 특가,spam
명품 정품 저가로 판매합니다,spam
운동화 진짜 저가 판매중,spam
명품가방 정품 반값 판매,spam
파이널 세일 하루만 진행중,spam
이 기회 놓치면 다시 없습니다,spam
지금 들어가지 않으면 홈페이지 닫혀요,spam
링크 클릭해서 무료 쿠폰 받으세요,spam
여기 눌러서 상품 확인하세요,spam
클릭 한 번으로 무료 금액 받아가세요,spam
지금 가입하면 5만원 즉시 지급,spam
회원가입 완료 축하금 5만원,spam
추천인 코드 입력하면 보너스,spam
첫 충전 시 100% 보너스 지급,spam
건강식품 극강의 효과 입증됨,spam
다이어트약 7일 만에 10kg 감량,spam
암 치료제 효과 백프로,spam
당뇨병 한방치료 가능합니다,spam
피부미용 제품 효과 대박입니다,spam
탈모약 새로 나왔어요 효과 장난 아닙니다,spam
여성 갱년기 치료법 알려드려요,spam
콜레스테롤 관리 비법 있어요,spam
독감 백신 구하기 어려우신가요,spam
코로나 치료제 구할 수 있습니다,spam
서울 아파트 분양 상담해드려요,spam
강남 원룸 저가 임대 정보,spam
시세차익 확실하게 나는 곳 알아요,spam
부동산 투자 컨설팅 무료입니다,spam
이 지역 앞으로 급상승할 거예요,spam
유튜브 구독자 판매합니다,spam
인스타그램 팔로워 싸게 파는곳,spam
티크톡 조회수 사주실 분,spam
페이스북 좋아요 늘려드려요,spam
블로그 방문자수 늘리는 방법,spam
구글 상위 랭크 보장해드려요,spam
신용조회 기록 삭제해드립니다,spam
신용등급 높여주는 서비스,spam
세금신고 대행 서비스,spam
법인카드 현금화 빠릅니다,spam
오늘 저녁 뭐 먹을까,ham
회의 자료 확인 부탁드립니다,ham
내일 몇 시에 만날까,ham
집에 도착하면 연락 줘,ham
생일 축하해,ham
택배 문 앞에 두고 갔어요,ham
수업 끝나고 전화할게,ham
이번 주 일정 다시 공유해줄게,ham
사진 잘 받았어 고마워,ham
오늘 너무 고생했어,ham
내일 비 온대 우산 챙겨,ham
회의 시간 3시로 변경됐어,ham
지금 어디야,ham
퇴근하고 연락할게,ham
주말에 시간 괜찮아,ham
점심 같이 먹고 싶은데 괜찮아,ham
커피 한 잔 할 시간 있어,ham
프로젝트 진행 상황 어떻게 돼,ham
신청하신 서류 접수되셨습니다,ham
배송 준비 중입니다,ham
배송 중입니다,ham
배송되었습니다,ham
오늘 비 올 확률 높으니 우산 챙겨,ham
내일 날씨 어때,ham
날씨가 좋네요,ham
추워서 옷 덥게 입어,ham
미세먼지 주의 나왔어,ham
반가워 오래간만이네,ham
어떻게 지내,ham
잘 있었어,ham
인사 오랜만이야,ham
연락 고마워,ham
우리 면접 시간 몇 시였지,ham
프레젠테이션 자료 다 만들었어,ham
우리 프로젝트 마감 언제였더라,ham
회사 행사가 있다고하던데 언제야,ham
명절 계획은 있어,ham
여름휴가는 어디 갈래,ham
겨울방학 언제 시작하는데,ham
수능 언제야,ham
시험보는데 화이팅,ham
놀러 가고 싶은데 같이 갈래,ham
영화 봤어 재미있었어,ham
드라마 추천해줄 거 있어,ham
전시회 같이 볼래,ham
신문기사 읽어봤어,ham
뉴스 봤어,ham
경기 결과 어때,ham
우리 팀 이겼대,ham
휴일은 쉬셨어,ham
가족이 잘 있어,ham
부모님이랑 안녕하세요,ham
형제자매는 뭐해,ham
친척들 안부 들었어,ham
우리 아이 키가 많이 커,ham
조카 요새 뭐해,ham
여동생이 결혼한대,ham
형이 새 직장 시작했어,ham
아버지 건강 어때,ham
어머니 편하세요,ham
할머니 뵈러 가고 싶어,ham
친구 결혼식은 언제야,ham
고향 내려갔어,ham
좀 있다 가,ham
이따 보자,ham
나중에 봐,ham
안녕 내일 봐,ham
바빠서 연락 늦었어,ham
미안해 자주 못 본 우리,ham
고마워 얘네,ham
정말 수고하신 거 알아,ham
힘내세요,ham
화이팅,ham
응원할게,ham
괜찮을 거야,ham
괜찮아 그런 일 있지,ham
문제없어,ham
상관없어,ham
신경 쓰지 마,ham
좋아,ham
물론이지,ham
당연하지,ham
맞아,ham
확실해,ham
알았어,ham
승인해드립니다,ham
처리되었습니다,ham
완료됐습니다,ham
문제 없습니다,ham
정상입니다,ham
작동합니다,ham
설치 완료되었습니다,ham
서비스 시작합니다,ham
로그인되었습니다,ham
계정이 활성화되었습니다,ham
확인메일을 보냈습니다,ham
계정을 확인해주세요,ham
비밀번호를 재설정해주세요,ham
이메일을 인증해주세요,ham
휴대폰을 인증해주세요,ham
주소를 입력해주세요,ham
양식을 작성해주세요,ham
서명이 필요합니다,ham
동의가 필요합니다,ham
문서를 검토해주세요,ham
피드백을 남겨주세요,ham
평가해주세요,ham
리뷰를 써주세요,ham
소감을 말씀해주세요,ham
의견을 나눠주세요,ham
개선사항을 알려주세요,ham
더 필요한 게 있으면 말씀해요,ham
언제든 질문하세요,ham
궁금한 게 있으면 물어봐요,ham
자세히 설명해드릴게요,ham
차근차근 진행하겠습니다,ham
준비가 되면 연락할게,ham
준비 중입니다,ham
처리 중입니다,ham
검토 중입니다,ham
진행 중입니다,ham
완성도 높이는 중,ham
품질 점검 중,ham
마지막 손질 중,ham
조율 중입니다,ham
협의 중입니다,ham

